x,y
385.94,-470
385.87,-470
385.8,-470
385.73,-470
385.66,-470
385.59,-470
385.52,-470
385.45,-470
385.38,-470
385.31,-470
385.24,-470
385.17,-470
385.1,-470
385.03,-470
384.96,-470
384.89,-470
384.82,-470
384.75,-470
384.68,-470
384.61,-470
384.54,-470
384.47,-470
384.4,-470
384.33,-470
384.26,-470
384.19,-470
384.12,-470
384.05,-470
383.98,-470
383.91,-470
383.84,-470
383.77,-470
383.7,-470
383.63,-470
383.56,-470
383.49,-470
383.42,-470
383.35,-470
383.28,-470
383.21,-470
383.14,-470
383.07,-470
383,-470
382.93,-470
382.86,-470
382.79,-470
382.72,-470
382.65,-470
382.58,-470
382.51,-470
382.44,-470
382.37,-470
382.3,-470
382.23,-470
382.16,-470
382.09,-470
382.02,-470
381.95,-470
381.88,-470
381.81,-470
381.74,-470
381.67,-470
381.6,-470
381.53,-470
381.46,-470
381.39,-470
381.32,-470
381.25,-470
381.18,-470
381.11,-470
381.04,-470
380.97,-470
380.9,-470
380.83,-470
380.76,-470
380.69,-470
380.62,-470
380.55,-470
380.48,-470
380.41,-470
380.34,-470
380.27,-470
380.2,-470
380.13,-470
380.06,-470
379.99,-470
379.92,-470
379.85,-470
379.78,-470
379.71,-470
379.64,-470
379.57,-470
379.5,-470
379.43,-470
379.36,-470
379.29,-470
379.22,-470
379.15,-470
379.08,-470
379.01,-470
378.94,-470
378.87,-470
378.8,-470
378.73,-470
378.66,-470
378.59,-470
378.52,-470
378.45,-470
378.38,-470
378.31,-470
378.24,-470
378.17,-470
378.1,-470
378.03,-470
377.96,-470
377.89,-470
377.82,-470
377.75,-470
377.68,-470
377.61,-470
377.54,-470
377.47,-470
377.4,-470
377.33,-470
377.26,-470
377.19,-470
377.12,-470
377.05,-470
376.98,-470
376.91,-470
376.84,-470
376.77,-470
376.7,-470
376.63,-470
376.56,-470
376.49,-470
376.42,-470
376.35,-470
376.28,-470
376.21,-470
376.14,-470
376.07,-470
376,-470
375.93,-470
375.86,-470
375.79,-470
375.72,-470
375.65,-470
375.58,-470
375.51,-470
375.44,-470
375.37,-470
375.3,-470
375.23,-470
375.16,-470
375.09,-470
375.02,-470
374.95,-470
374.88,-470
374.81,-470
374.74,-470
374.67,-470
374.6,-470
374.53,-470
374.46,-470
374.39,-470
374.32,-470
374.25,-470
374.18,-470
374.11,-470
374.04,-470
373.97,-470
373.9,-470
373.83,-470
373.76,-470
373.69,-470
373.62,-470
373.55,-470
373.48,-470
373.41,-470
373.34,-470
373.27,-470
373.2,-470
373.13,-470
373.06,-470
372.99,-470
372.92,-470
372.85,-470
372.78,-470
372.71,-470
372.64,-470
372.57,-470
372.5,-470
372.4299733,-469.9992219
372.3598947,-469.9969297
372.2897663,-469.9931865
372.2195903,-469.9880554
372.1493688,-469.9815994
372.0791041,-469.9738817
372.0087982,-469.9649653
371.9384534,-469.9549133
371.8680718,-469.9437888
371.7976556,-469.931655
371.7272069,-469.9185748
371.6567279,-469.9046113
371.5862208,-469.8898278
371.5156877,-469.8742872
371.4451308,-469.8580526
371.3745523,-469.8411871
371.3039543,-469.8237539
371.233339,-469.805816
371.1627085,-469.7874364
371.092065,-469.7686783
371.0214108,-469.7496048
370.9507478,-469.7302789
370.8800784,-469.7107638
370.8094047,-469.6911225
370.7387288,-469.6714181
370.6680528,-469.6517137
370.5973791,-469.6320723
370.5267097,-469.6125572
370.4560467,-469.5932313
370.3853925,-469.5741578
370.314749,-469.5553997
370.2441185,-469.5370202
370.1735032,-469.5190822
370.1029052,-469.501649
370.0323267,-469.4847835
369.9617698,-469.4685489
369.8912367,-469.4530083
369.8207296,-469.4382248
369.7502506,-469.4242613
369.6798019,-469.4111812
369.6093857,-469.3990473
369.5390041,-469.3879228
369.4686593,-469.3778708
369.3983534,-469.3689544
369.3280887,-469.3612367
369.2578672,-469.3547807
369.1876912,-469.3496496
369.1175628,-469.3459064
369.0474842,-469.3436142
368.9774575,-469.3428361
368.9074575,-469.3428361
368.8374575,-469.3428361
368.7674575,-469.3428361
368.6974575,-469.3428361
368.6274575,-469.3428361
368.5574575,-469.3428361
368.4874575,-469.3428361
368.4174575,-469.3428361
368.3474575,-469.3428361
368.2774575,-469.3428361
368.2074575,-469.3428361
368.1374575,-469.3428361
368.0674575,-469.3428361
367.9974575,-469.3428361
367.9274575,-469.3428361
367.8574575,-469.3428361
367.7874575,-469.3428361
367.7174575,-469.3428361
367.6474575,-469.3428361
367.5774575,-469.3428361
367.5074575,-469.3428361
367.4374575,-469.3428361
367.3674575,-469.3428361
367.2974575,-469.3428361
367.2274575,-469.3428361
367.1574575,-469.3428361
367.0874575,-469.3428361
367.0174575,-469.3428361
366.9474575,-469.3428361
366.8774575,-469.3428361
366.8074575,-469.3428361
366.7374575,-469.3428361
366.6674575,-469.3428361
366.5974575,-469.3428361
366.5274575,-469.3428361
366.4574575,-469.3428361
366.3874575,-469.3428361
366.3174575,-469.3428361
366.2474575,-469.3428361
366.1774575,-469.3428361
366.1074575,-469.3428361
366.0374575,-469.3428361
365.9674575,-469.3428361
365.8974575,-469.3428361
365.8274575,-469.3428361
365.7574575,-469.3428361
365.6874575,-469.3428361
365.6174575,-469.3428361
365.5474575,-469.3428361
365.4774575,-469.3428361
365.4074575,-469.3428361
365.3374575,-469.3428361
365.2674575,-469.3428361
365.1974575,-469.3428361
365.1274575,-469.3428361
365.0574575,-469.3428361
364.9874575,-469.3428361
364.9174575,-469.3428361
364.8474575,-469.3428361
364.7774575,-469.3428361
364.7074575,-469.3428361
364.6374575,-469.3428361
364.5674575,-469.3428361
