x,y
419,-471.7320508
418.93,-471.7320508
418.86,-471.7320508
418.79,-471.7320508
418.72,-471.7320508
418.65,-471.7320508
418.58,-471.7320508
418.51,-471.7320508
418.44,-471.7320508
418.37,-471.7320508
418.3,-471.7320508
418.23,-471.7320508
418.16,-471.7320508
418.09,-471.7320508
418.02,-471.7320508
417.95,-471.7320508
417.88,-471.7320508
417.81,-471.7320508
417.74,-471.7320508
417.67,-471.7320508
417.6,-471.7320508
417.53,-471.7320508
417.46,-471.7320508
417.39,-471.7320508
417.32,-471.7320508
417.25,-471.7320508
417.18,-471.7320508
417.11,-471.7320508
417.04,-471.7320508
416.97,-471.7320508
416.9,-471.7320508
416.83,-471.7320508
416.76,-471.7320508
416.69,-471.7320508
416.62,-471.7320508
416.55,-471.7320508
416.48,-471.7320508
416.41,-471.7320508
416.34,-471.7320508
416.27,-471.7320508
416.2,-471.7320508
416.13,-471.7320508
416.06,-471.7320508
415.99,-471.7320508
415.92,-471.7320508
415.85,-471.7320508
415.78,-471.7320508
415.71,-471.7320508
415.64,-471.7320508
415.57,-471.7320508
415.5,-471.7320508
415.43,-471.7320508
415.36,-471.7320508
415.29,-471.7320508
415.22,-471.7320508
415.15,-471.7320508
415.08,-471.7320508
415.01,-471.7320508
414.94,-471.7320508
414.87,-471.7320508
414.8,-471.7320508
414.73,-471.7320508
414.66,-471.7320508
414.59,-471.7320508
414.52,-471.7320508
414.45,-471.7320508
414.38,-471.7320508
414.31,-471.7320508
414.24,-471.7320508
414.17,-471.7320508
414.1,-471.7320508
414.03,-471.7320508
413.96,-471.7320508
413.89,-471.7320508
413.82,-471.7320508
413.75,-471.7320508
413.68,-471.7320508
413.61,-471.7320508
413.54,-471.7320508
413.47,-471.7320508
413.4,-471.7320508
413.33,-471.7320508
413.26,-471.7320508
413.19,-471.7320508
413.12,-471.7320508
413.05,-471.7320508
412.98,-471.7320508
412.91,-471.7320508
412.84,-471.7320508
412.77,-471.7320508
412.7,-471.7320508
412.63,-471.7320508
412.56,-471.7320508
412.49,-471.7320508
412.42,-471.7320508
412.35,-471.7320508
412.28,-471.7320508
412.21,-471.7320508
412.14,-471.7320508
412.07,-471.7320508
412,-471.7320508
411.93,-471.7320508
411.86,-471.7320508
411.79,-471.7320508
411.72,-471.7320508
411.65,-471.7320508
411.58,-471.7320508
411.51,-471.7320508
411.44,-471.7320508
411.37,-471.7320508
411.3,-471.7320508
411.23,-471.7320508
411.16,-471.7320508
411.09,-471.7320508
411.02,-471.7320508
410.95,-471.7320508
410.88,-471.7320508
410.81,-471.7320508
410.74,-471.7320508
410.67,-471.7320508
410.6,-471.7320508
410.53,-471.7320508
410.46,-471.7320508
410.39,-471.7320508
410.32,-471.7320508
410.25,-471.7320508
410.18,-471.7320508
410.11,-471.7320508
410.04,-471.7320508
409.97,-471.7320508
409.9,-471.7320508
409.83,-471.7320508
409.76,-471.7320508
409.69,-471.7320508
409.62,-471.7320508
409.55,-471.7320508
409.48,-471.7320508
409.41,-471.7320508
409.34,-471.7320508
409.27,-471.7320508
409.2,-471.7320508
409.13,-471.7320508
409.06,-471.7320508
408.99,-471.7320508
408.92,-471.7320508
408.85,-471.7320508
408.78,-471.7320508
408.71,-471.7320508
408.64,-471.7320508
408.57,-471.7320508
408.5,-471.7320508
408.43,-471.7320508
408.36,-471.7320508
408.29,-471.7320508
408.22,-471.7320508
408.15,-471.7320508
408.08,-471.7320508
408.01,-471.7320508
407.94,-471.7320508
407.87,-471.7320508
407.8,-471.7320508
407.73,-471.7320508
407.66,-471.7320508
407.59,-471.7320508
407.52,-471.7320508
407.45,-471.7320508
407.38,-471.7320508
407.31,-471.7320508
407.24,-471.7320508
407.17,-471.7320508
407.1,-471.7320508
407.03,-471.7320508
406.96,-471.7320508
406.89,-471.7320508
406.82,-471.7320508
406.75,-471.7320508
406.68,-471.7320508
406.61,-471.7320508
406.54,-471.7320508
406.47,-471.7320508
406.4,-471.7320508
406.33,-471.7320508
406.26,-471.7320508
406.19,-471.7320508
406.12,-471.7320508
406.05,-471.7320508
405.98,-471.7320508
405.91,-471.7320508
405.84,-471.7320508
405.77,-471.7320508
405.7,-471.7320508
405.63,-471.7320508
405.56,-471.7320508
405.49,-471.7320508
405.42,-471.7320508
405.35,-471.7320508
405.28,-471.7320508
405.21,-471.7320508
405.14,-471.7320508
405.07,-471.7320508
405,-471.7320508
404.93,-471.7320508
404.86,-471.7320508
404.79,-471.7320508
404.72,-471.7320508
404.65,-471.7320508
404.58,-471.7320508
404.51,-471.7320508
404.44,-471.7320508
404.37,-471.7320508
404.3,-471.7320508
404.23,-471.7320508
404.16,-471.7320508
404.09,-471.7320508
404.02,-471.7320508
403.95,-471.7320508
403.88,-471.7320508
403.81,-471.7320508
403.74,-471.7320508
403.67,-471.7320508
403.6,-471.7320508
403.53,-471.7320508
403.46,-471.7320508
403.39,-471.7320508
403.32,-471.7320508
403.25,-471.7320508
403.18,-471.7320508
403.11,-471.7320508
403.04,-471.7320508
402.97,-471.7320508
402.9,-471.7320508
402.83,-471.7320508
402.76,-471.7320508
402.69,-471.7320508
402.62,-471.7320508
402.55,-471.7320508
402.48,-471.7320508
402.41,-471.7320508
402.34,-471.7320508
402.27,-471.7320508
402.2,-471.7320508
402.13,-471.7320508
402.06,-471.7320508
401.99,-471.7320508
401.92,-471.7320508
401.85,-471.7320508
401.78,-471.7320508
401.71,-471.7320508
401.64,-471.7320508
401.57,-471.7320508
401.5,-471.7320508
401.43,-471.7320508
401.36,-471.7320508
401.29,-471.7320508
401.22,-471.7320508
401.15,-471.7320508
401.08,-471.7320508
401.01,-471.7320508
400.94,-471.7320508
400.87,-471.7320508
400.8,-471.7320508
400.73,-471.7320508
400.66,-471.7320508
400.59,-471.7320508
400.52,-471.7320508
400.45,-471.7320508
400.38,-471.7320508
400.31,-471.7320508
400.24,-471.7320508
400.17,-471.7320508
400.1,-471.7320508
400.03,-471.7320508
399.96,-471.7320508
399.89,-471.7320508
399.82,-471.7320508
399.75,-471.7320508
399.68,-471.7320508
399.61,-471.7320508
399.54,-471.7320508
399.47,-471.7320508
399.4,-471.7320508
399.33,-471.7320508
399.26,-471.7320508
399.19,-471.7320508
399.12,-471.7320508
399.05,-471.7320508
398.98,-471.7320508
398.91,-471.7320508
398.84,-471.7320508
398.77,-471.7320508
