x,y
419,-468.2679492
418.93,-468.2679492
418.86,-468.2679492
418.79,-468.2679492
418.72,-468.2679492
418.65,-468.2679492
418.58,-468.2679492
418.51,-468.2679492
418.44,-468.2679492
418.37,-468.2679492
418.3,-468.2679492
418.23,-468.2679492
418.16,-468.2679492
418.09,-468.2679492
418.02,-468.2679492
417.95,-468.2679492
417.88,-468.2679492
417.81,-468.2679492
417.74,-468.2679492
417.67,-468.2679492
417.6,-468.2679492
417.53,-468.2679492
417.46,-468.2679492
417.39,-468.2679492
417.32,-468.2679492
417.25,-468.2679492
417.18,-468.2679492
417.11,-468.2679492
417.04,-468.2679492
416.97,-468.2679492
416.9,-468.2679492
416.83,-468.2679492
416.76,-468.2679492
416.69,-468.2679492
416.62,-468.2679492
416.55,-468.2679492
416.48,-468.2679492
416.41,-468.2679492
416.34,-468.2679492
416.27,-468.2679492
416.2,-468.2679492
416.13,-468.2679492
416.06,-468.2679492
415.99,-468.2679492
415.92,-468.2679492
415.85,-468.2679492
415.78,-468.2679492
415.71,-468.2679492
415.64,-468.2679492
415.57,-468.2679492
415.5,-468.2679492
415.43,-468.2679492
415.36,-468.2679492
415.29,-468.2679492
415.22,-468.2679492
415.15,-468.2679492
415.08,-468.2679492
415.01,-468.2679492
414.94,-468.2679492
414.87,-468.2679492
414.8,-468.2679492
414.73,-468.2679492
414.66,-468.2679492
414.59,-468.2679492
414.52,-468.2679492
414.45,-468.2679492
414.38,-468.2679492
414.31,-468.2679492
414.24,-468.2679492
414.17,-468.2679492
414.1,-468.2679492
414.03,-468.2679492
413.96,-468.2679492
413.89,-468.2679492
413.82,-468.2679492
413.75,-468.2679492
413.68,-468.2679492
413.61,-468.2679492
413.54,-468.2679492
413.47,-468.2679492
413.4,-468.2679492
413.33,-468.2679492
413.26,-468.2679492
413.19,-468.2679492
413.12,-468.2679492
413.05,-468.2679492
412.98,-468.2679492
412.91,-468.2679492
412.84,-468.2679492
412.77,-468.2679492
412.7,-468.2679492
412.63,-468.2679492
412.56,-468.2679492
412.49,-468.2679492
