x,y
421,-471.7320508
420.93,-471.7320508
420.86,-471.7320508
420.79,-471.7320508
420.72,-471.7320508
420.65,-471.7320508
420.58,-471.7320508
420.51,-471.7320508
420.44,-471.7320508
420.37,-471.7320508
420.3,-471.7320508
420.23,-471.7320508
420.16,-471.7320508
420.09,-471.7320508
420.02,-471.7320508
419.95,-471.7320508
419.88,-471.7320508
419.81,-471.7320508
419.74,-471.7320508
419.67,-471.7320508
419.6,-471.7320508
419.53,-471.7320508
419.46,-471.7320508
419.39,-471.7320508
419.32,-471.7320508
419.25,-471.7320508
419.18,-471.7320508
419.11,-471.7320508
419.04,-471.7320508
418.97,-471.7320508
418.9,-471.7320508
418.83,-471.7320508
418.76,-471.7320508
418.69,-471.7320508
418.62,-471.7320508
418.55,-471.7320508
418.48,-471.7320508
418.41,-471.7320508
418.34,-471.7320508
418.27,-471.7320508
418.2,-471.7320508
418.13,-471.7320508
418.06,-471.7320508
417.99,-471.7320508
417.92,-471.7320508
417.85,-471.7320508
417.78,-471.7320508
417.71,-471.7320508
417.64,-471.7320508
417.57,-471.7320508
417.5,-471.7320508
417.43,-471.7320508
417.36,-471.7320508
417.29,-471.7320508
417.22,-471.7320508
417.15,-471.7320508
417.08,-471.7320508
417.01,-471.7320508
416.94,-471.7320508
416.87,-471.7320508
416.8,-471.7320508
416.73,-471.7320508
416.66,-471.7320508
416.59,-471.7320508
416.52,-471.7320508
416.45,-471.7320508
416.38,-471.7320508
416.31,-471.7320508
416.24,-471.7320508
416.17,-471.7320508
416.1,-471.7320508
416.03,-471.7320508
415.96,-471.7320508
415.89,-471.7320508
415.82,-471.7320508
415.75,-471.7320508
415.68,-471.7320508
415.61,-471.7320508
415.54,-471.7320508
415.47,-471.7320508
415.4,-471.7320508
415.33,-471.7320508
415.26,-471.7320508
415.19,-471.7320508
415.12,-471.7320508
415.05,-471.7320508
414.98,-471.7320508
414.91,-471.7320508
414.84,-471.7320508
414.77,-471.7320508
414.7,-471.7320508
414.63,-471.7320508
414.56,-471.7320508
414.49,-471.7320508
414.42,-471.7320508
414.35,-471.7320508
414.28,-471.7320508
414.21,-471.7320508
414.14,-471.7320508
414.07,-471.7320508
414,-471.7320508
413.93,-471.7320508
413.86,-471.7320508
413.79,-471.7320508
413.72,-471.7320508
413.65,-471.7320508
413.58,-471.7320508
413.51,-471.7320508
413.44,-471.7320508
413.37,-471.7320508
413.3,-471.7320508
413.23,-471.7320508
413.16,-471.7320508
413.09,-471.7320508
413.02,-471.7320508
412.95,-471.7320508
412.88,-471.7320508
412.81,-471.7320508
412.74,-471.7320508
412.67,-471.7320508
412.6,-471.7320508
412.53,-471.7320508
412.46,-471.7320508
412.39,-471.7320508
412.32,-471.7320508
412.25,-471.7320508
412.18,-471.7320508
412.11,-471.7320508
412.04,-471.7320508
411.97,-471.7320508
411.9,-471.7320508
411.83,-471.7320508
411.76,-471.7320508
411.69,-471.7320508
411.62,-471.7320508
411.55,-471.7320508
411.48,-471.7320508
411.41,-471.7320508
411.34,-471.7320508
411.27,-471.7320508
411.2,-471.7320508
411.13,-471.7320508
411.06,-471.7320508
410.99,-471.7320508
410.92,-471.7320508
410.85,-471.7320508
410.78,-471.7320508
410.71,-471.7320508
410.64,-471.7320508
410.57,-471.7320508
410.5,-471.7320508
410.43,-471.7320508
410.36,-471.7320508
410.29,-471.7320508
410.22,-471.7320508
410.15,-471.7320508
410.08,-471.7320508
410.01,-471.7320508
409.94,-471.7320508
409.87,-471.7320508
409.8,-471.7320508
409.73,-471.7320508
409.66,-471.7320508
409.59,-471.7320508
409.52,-471.7320508
409.45,-471.7320508
409.38,-471.7320508
409.31,-471.7320508
409.24,-471.7320508
409.17,-471.7320508
409.1,-471.7320508
409.03,-471.7320508
408.96,-471.7320508
408.89,-471.7320508
408.82,-471.7320508
408.75,-471.7320508
408.68,-471.7320508
408.61,-471.7320508
408.54,-471.7320508
408.47,-471.7320508
408.4,-471.7320508
408.33,-471.7320508
408.26,-471.7320508
408.19,-471.7320508
408.12,-471.7320508
408.05,-471.7320508
407.98,-471.7320508
407.91,-471.7320508
407.84,-471.7320508
407.77,-471.7320508
407.7,-471.7320508
407.63,-471.7320508
407.56,-471.7320508
407.49,-471.7320508
407.42,-471.7320508
407.35,-471.7320508
407.28,-471.7320508
407.21,-471.7320508
407.14,-471.7320508
407.07,-471.7320508
407,-471.7320508
406.93,-471.7320508
406.86,-471.7320508
406.79,-471.7320508
406.72,-471.7320508
406.65,-471.7320508
406.58,-471.7320508
406.51,-471.7320508
406.44,-471.7320508
406.37,-471.7320508
406.3,-471.7320508
406.23,-471.7320508
406.16,-471.7320508
406.09,-471.7320508
406.02,-471.7320508
405.95,-471.7320508
405.88,-471.7320508
405.81,-471.7320508
405.74,-471.7320508
405.67,-471.7320508
405.6,-471.7320508
405.53,-471.7320508
