x,y
422,-470
421.93,-470
421.86,-470
421.79,-470
421.72,-470
421.65,-470
421.58,-470
421.51,-470
421.44,-470
421.37,-470
421.3,-470
421.23,-470
421.16,-470
421.09,-470
421.02,-470
420.95,-470
420.88,-470
420.81,-470
420.74,-470
420.67,-470
420.6,-470
420.53,-470
420.46,-470
420.39,-470
420.32,-470
420.25,-470
420.18,-470
420.11,-470
420.04,-470
419.97,-470
419.9,-470
419.83,-470
419.76,-470
419.69,-470
419.62,-470
419.55,-470
419.48,-470
419.41,-470
419.34,-470
419.27,-470
419.2,-470
419.13,-470
419.06,-470
418.99,-470
418.92,-470
418.85,-470
418.78,-470
418.71,-470
418.64,-470
418.57,-470
418.5,-470
418.43,-470
418.36,-470
418.29,-470
418.22,-470
418.15,-470
418.08,-470
418.01,-470
417.94,-470
417.87,-470
417.8,-470
417.73,-470
417.66,-470
417.59,-470
417.52,-470
417.45,-470
417.38,-470
417.31,-470
417.24,-470
417.17,-470
417.1,-470
417.03,-470
416.96,-470
416.89,-470
416.82,-470
416.75,-470
416.68,-470
416.61,-470
416.54,-470
416.47,-470
416.4,-470
416.33,-470
416.26,-470
416.19,-470
416.12,-470
416.05,-470
415.98,-470
415.91,-470
415.84,-470
415.77,-470
415.7,-470
415.63,-470
415.56,-470
415.49,-470
415.42,-470
415.35,-470
415.28,-470
415.21,-470
415.14,-470
415.07,-470
415,-470
414.93,-470
414.86,-470
414.79,-470
414.72,-470
414.65,-470
414.58,-470
414.51,-470
414.44,-470
414.37,-470
414.3,-470
414.23,-470
414.16,-470
414.09,-470
414.02,-470
413.95,-470
413.88,-470
413.81,-470
413.74,-470
413.67,-470
413.6,-470
413.53,-470
413.46,-470
413.39,-470
413.32,-470
413.25,-470
413.18,-470
413.11,-470
413.04,-470
412.97,-470
412.9,-470
412.83,-470
412.76,-470
412.69,-470
412.62,-470
412.55,-470
412.48,-470
412.41,-470
412.34,-470
412.27,-470
412.2,-470
412.13,-470
412.06,-470
411.99,-470
